dataset,method,test,val,params,param_pct,memory,epoch_time,entropy,effective,load_min,load_ratio
vtab1k_cifar100,linear_probe,67.2,71.5,0.0769,0.08941860465116279,0.6442604064941406,1.3537372326850892,None,None,None,None
vtab1k_cifar100,full_finetune,65.32,68.89999999999999,85.875556,99.85529767441861,9.424221515655518,1.8993921518325805,None,None,None,None
vtab1k_cifar100,adaptformer,71.97,76.0,1.266544,1.4727255813953488,3.597926139831543,2.096996386051178,None,None,None,None
vtab1k_cifar100,ssf,72.39999999999999,76.3,0.113764,0.13228372093023255,4.09111213684082,2.0772733521461486,None,None,None,None
vtab1k_cifar100,lora,71.77,76.1,0.371812,0.4323395348837209,5.49418830871582,2.2634722328186037,None,None,None,None
vtab1k_cifar100,vpt,67.56,72.5,0.083044,0.09656279069767441,3.4480795860290527,2.033729121685028,None,None,None,None
vtab1k_cifar100,cvpt,71.06,73.8,0.150628,0.17514883720930233,3.853698253631592,2.1048563361167907,None,None,None,None
vtab1k_cifar100,para_cvpt,70.21,73.5,0.300724,0.3496790697674419,3.858668804168701,2.400489938259125,1.2242058515548706,4.342212200164795,0.0464070662856102,2.8004114627838135
vtab1k_cifar100,expert_adapter_pool,71.28999999999999,76.1,7.363636,8.562367441860465,14.554341316223145,2.803703122138977,0.5415381789207458,1.7382149696350098,0.08208488672971725,2.727583408355713
vtab1k_cifar100,cvpt_expert_adapter,72.08,75.3,7.455796,8.66953023255814,16.81300926208496,3.2151440143585206,0.5458331108093262,1.7402544021606445,0.07091481238603592,3.887425422668457
cub_200_2011,linear_probe,77.92544011045909,78.16666666666666,0.1538,0.17883720930232558,0.9512171745300293,3.3958937120437622,None,None,None,None
cub_200_2011,full_finetune,82.3610631687953,83.5,85.952456,99.94471627906977,9.430091381072998,9.18864284992218,None,None,None,None
cub_200_2011,adaptformer,81.2219537452537,81.66666666666667,1.343444,1.5621441860465115,6.662374019622803,7.655929217338562,None,None,None,None
cub_200_2011,ssf,81.11839834311357,81.83333333333334,0.190664,0.22170232558139535,7.618945121765137,7.788983597755432,None,None,None,None
cub_200_2011,lora,82.2920262340352,81.83333333333334,0.448712,0.5217581395348837,10.479271411895752,8.935238256454468,None,None,None,None
cub_200_2011,vpt,76.66551605108734,78.5,0.159944,0.1859813953488372,6.382272243499756,7.252410471439362,None,None,None,None
cub_200_2011,cvpt,81.7224715222644,80.83333333333333,0.227528,0.2645674418604651,7.019688129425049,8.336916990280152,None,None,None,None
cub_200_2011,para_cvpt,81.01484294097342,81.16666666666667,0.377624,0.43909767441860464,7.029998302459717,9.094931740760803,0.9882269501686096,3.435544013977051,0.027402130886912346,4.555659294128418
cub_200_2011,expert_adapter_pool,81.17017604418363,83.16666666666667,7.440536,8.651786046511628,14.555972576141357,13.994128730297088,0.4668371081352234,1.6391432285308838,0.029823845252394676,12.465754508972168
cub_200_2011,cvpt_expert_adapter,81.34276838108389,83.16666666666667,7.532696,8.758948837209303,16.813941955566406,16.04205986738205,0.43916264176368713,1.5954358577728271,0.09800295531749725,2.686018228530884
oxford_flowers_102,linear_probe,88.51845828590015,89.50980392156863,0.078438,0.09120697674418604,0.9512057304382324,1.2235773015022278,None,None,None,None
oxford_flowers_102,full_finetune,94.56822247519922,96.27450980392157,85.877094,99.85708604651163,9.42992115020752,2.3117360258102417,None,None,None,None
oxford_flowers_102,adaptformer,94.11286388030574,95.68627450980392,1.268082,1.4745139534883722,6.662377834320068,2.0400283432006834,None,None,None,None
oxford_flowers_102,ssf,93.1858838835583,93.82352941176471,0.115302,0.13407209302325582,7.616516590118408,2.049324975013733,None,None,None,None
oxford_flowers_102,lora,94.5844852821597,95.0,0.37335,0.4341279069767442,10.478225708007812,2.25490394115448,None,None,None,None
oxford_flowers_102,vpt,90.68141161164417,91.27450980392156,0.084582,0.09835116279069767,6.378012657165527,1.9552765941619874,None,None,None,None
oxford_flowers_102,cvpt,93.26719791836071,94.31372549019608,0.152166,0.17693720930232557,7.018756866455078,2.1548711180686952,None,None,None,None
oxford_flowers_102,para_cvpt,92.95820458611156,94.50980392156862,0.302262,0.35146744186046514,7.029555320739746,2.3258544063568114,1.7764078378677368,7.283777713775635,0.06574644148349762,1.8288244009017944
oxford_flowers_102,expert_adapter_pool,93.23467230443974,94.90196078431372,7.365174,8.564155813953489,14.54839277267456,3.228570840358734,0.5454736948013306,1.747469186782837,0.06591178476810455,4.858438968658447
oxford_flowers_102,cvpt_expert_adapter,94.9260042283298,95.7843137254902,7.457334,8.671318604651162,16.813026905059814,3.6405461692810057,0.5866351127624512,1.8138796091079712,0.09446963667869568,2.321681022644043
